company_name,from_location,to_location,vessel,departure_time,day_of_departure,arrival_time,day_of_arrival,accomodation,passenger_type,fare
Aleson,Bongao,Zamboanga,MV Trisha Kerstin 2,18:00,2,11:00,3,Class A,,400.08
Aleson,Bongao,Zamboanga,MV Trisha Kerstin 2,18:00,2,11:00,3,Class B,,321.4
Aleson,Bongao,Zamboanga,MV Trisha Kerstin 2,18:00,2,11:00,3,Class C,,252.6
Aleson,Bongao,Zamboanga,MV Trisha Kerstin 2,18:00,4,11:00,5,Class A,,400.08
Aleson,Bongao,Zamboanga,MV Trisha Kerstin 2,18:00,4,11:00,5,Class B,,321.4
Aleson,Bongao,Zamboanga,MV Trisha Kerstin 2,18:00,4,11:00,5,Class C,,252.6
Aleson,Bongao,Zamboanga,MV Trisha Kerstin 2,18:00,6,11:00,7,Class A,,400.08
Aleson,Bongao,Zamboanga,MV Trisha Kerstin 2,18:00,6,11:00,7,Class B,,321.4
Aleson,Bongao,Zamboanga,MV Trisha Kerstin 2,18:00,6,11:00,7,Class C,,252.6
Aleson,Zamboanga,Bongao,MV Trisha Kerstin 2,18:00,1,11:00,1,Class A,,400.08
Aleson,Zamboanga,Bongao,MV Trisha Kerstin 2,18:00,1,11:00,1,Class B,,321.4
Aleson,Zamboanga,Bongao,MV Trisha Kerstin 2,18:00,1,11:00,1,Class C,,252.6
Aleson,Zamboanga,Bongao,MV Trisha Kerstin 2,18:00,3,11:00,3,Class A,,400.08
Aleson,Zamboanga,Bongao,MV Trisha Kerstin 2,18:00,3,11:00,3,Class B,,321.4
Aleson,Zamboanga,Bongao,MV Trisha Kerstin 2,18:00,3,11:00,3,Class C,,252.6
Aleson,Zamboanga,Bongao,MV Trisha Kerstin 2,18:00,5,11:00,5,Class A,,400.08
Aleson,Zamboanga,Bongao,MV Trisha Kerstin 2,18:00,5,11:00,5,Class B,,321.4
Aleson,Zamboanga,Bongao,MV Trisha Kerstin 2,18:00,5,11:00,5,Class C,,252.6
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,7:45,"1, 2, 3, 4, 5, 6, 7",9:00,"1, 2, 3, 4, 5, 6, 7",Class A,,
